Date,Open,High,Low,Close,Volume
2019-12-16,128.3,129.32,128.09,128.36,5353100
2019-12-17,129.45,130.4,129.02,129.96,10722400
2019-12-18,130.1,130.25,129.22,129.63,7849200
2019-12-19,130.26,132.06,130.01,131.58,9414700
2019-12-20,132.97,133.83,131.08,132.22,14532800
2019-12-23,131.93,132.86,131.57,132.57,6558700
2019-12-24,132.17,132.18,131.5,132.11,4238900
2019-12-26,132.14,132.33,131.41,132.01,3019300
2019-12-27,132.35,132.67,131.75,131.94,3432700
2019-12-30,131.97,132.35,131.29,131.54,2923300
2019-12-31,131.35,132.18,131.06,132.05,4435000
2020-01-02,132.05,132.19,131.34,132.14,5777000
2020-01-03,129.91,131.6,129.45,130.61,5752400
2020-01-06,130.36,130.54,129.32,130.45,7731300
2020-01-07,130.37,131.67,127.99,131.25,7382900
2020-01-08,131.15,132.15,130.09,131.23,6605800
2020-01-09,131.95,132.2,131.25,131.62,6112700
2020-01-10,131.94,132.33,131.17,131.32,5042600
2020-01-13,131.7,131.98,131.01,131.9,4593200
2020-01-14,131.31,132.72,131.02,132.64,7037500
2020-01-15,132.53,133.44,132.39,133.08,4960300
2020-01-16,133.45,134.74,132.35,134.16,6476000
2020-01-17,134.35,135.26,133.92,135.04,9083600
2020-01-21,134.5,135.94,134.43,135.13,9543900
2020-01-22,132.8,135.05,132.17,134.21,10305300
2020-01-23,134.02,134.68,132.86,134.46,8671900
2020-01-24,134.5,134.84,133.92,134.27,9051900
2020-01-27,133.54,135.3,133.07,134.66,7587100
2020-01-28,134.4,136.31,134.12,135.34,7336600
2020-01-29,135.29,136.87,135.0,136.28,6288600
2020-01-30,135.82,136.25,134.93,136.12,6470600
2020-01-31,135.56,135.79,134.56,134.77,8651700
2020-02-03,135.26,136.23,135.1,135.94,5765200
2020-02-04,137.14,138.28,136.88,137.24,6541400
2020-02-05,137.35,139.43,136.98,139.4,5979900
2020-02-06,139.64,139.86,138.27,138.99,6201200
2020-02-07,138.81,138.92,137.19,137.5,5700300
2020-02-10,137.31,137.52,136.6,137.47,4835600
2020-02-11,137.86,137.94,137.18,137.59,3715300
2020-02-12,137.48,137.74,136.62,136.78,5166800
2020-02-13,135.93,136.73,135.68,135.87,5480200
2020-02-14,136.3,136.37,135.02,135.91,5716300
2020-02-18,136.22,136.46,134.94,135.01,7230700
2020-02-19,135.07,135.57,134.5,134.83,6115200
2020-02-20,134.53,135.23,133.44,134.31,7464700
2020-02-21,134.06,136.01,133.56,135.73,7776800
2020-02-24,133.47,135.74,132.33,132.93,10588900
2020-02-25,133.0,133.69,131.03,131.78,10529000
2020-02-26,132.42,133.21,130.82,130.9,10093800
2020-02-27,129.88,131.89,126.59,126.74,12566700
2020-02-28,123.32,125.08,119.18,122.52,19820300
2020-03-02,122.79,127.66,122.09,127.56,11508200
2020-03-03,127.55,128.45,121.26,123.53,13662500
2020-03-04,125.43,130.86,124.94,130.72,10560500
2020-03-05,128.27,129.99,127.4,129.38,11339200
2020-03-06,126.16,130.29,125.19,129.39,12239100
2020-03-09,124.2,127.25,122.9,124.3,13848600
2020-03-10,127.52,129.32,122.29,129.04,12698100
